377152 the co goc | da co 0 mau trong data/data_pikafish_s22.jsonl | phan bo hien tai {'khai_cuoc': 0, 'trung_cuoc': 0, 'tan_cuoc': 0}
500/1340000 | van 8 | khai 32% trung 44% tan 24% | 10016 mau/phut
1000/1340000 | van 15 | khai 27% trung 46% tan 26% | 9751 mau/phut
1500/1340000 | van 24 | khai 27% trung 47% tan 27% | 9973 mau/phut
2000/1340000 | van 29 | khai 27% trung 48% tan 25% | 8334 mau/phut
2500/1340000 | van 36 | khai 26% trung 48% tan 26% | 7542 mau/phut
3000/1340000 | van 42 | khai 26% trung 49% tan 25% | 7853 mau/phut
3500/1340000 | van 50 | khai 26% trung 50% tan 24% | 8042 mau/phut
4000/1340000 | van 56 | khai 26% trung 50% tan 25% | 8460 mau/phut
4500/1340000 | van 62 | khai 25% trung 50% tan 25% | 8689 mau/phut
5000/1340000 | van 71 | khai 26% trung 50% tan 24% | 8808 mau/phut
5500/1340000 | van 76 | khai 25% trung 50% tan 25% | 8565 mau/phut
6000/1340000 | van 84 | khai 25% trung 51% tan 24% | 8710 mau/phut
6500/1340000 | van 89 | khai 25% trung 50% tan 25% | 8942 mau/phut
7000/1340000 | van 96 | khai 25% trung 50% tan 24% | 9004 mau/phut
7500/1340000 | van 104 | khai 25% trung 51% tan 24% | 9133 mau/phut
8000/1340000 | van 110 | khai 25% trung 51% tan 25% | 9220 mau/phut
8500/1340000 | van 116 | khai 25% trung 51% tan 24% | 9372 mau/phut
9000/1340000 | van 124 | khai 25% trung 51% tan 24% | 9451 mau/phut
9500/1340000 | van 131 | khai 25% trung 51% tan 24% | 9498 mau/phut
10000/1340000 | van 137 | khai 25% trung 51% tan 25% | 9516 mau/phut
10500/1340000 | van 144 | khai 25% trung 51% tan 24% | 9558 mau/phut
11000/1340000 | van 151 | khai 25% trung 51% tan 25% | 9656 mau/phut
11500/1340000 | van 160 | khai 25% trung 51% tan 25% | 9609 mau/phut
12000/1340000 | van 167 | khai 25% trung 51% tan 25% | 9646 mau/phut
12500/1340000 | van 174 | khai 25% trung 51% tan 25% | 9636 mau/phut
13000/1340000 | van 181 | khai 25% trung 51% tan 25% | 9635 mau/phut
13500/1340000 | van 189 | khai 25% trung 51% tan 24% | 9685 mau/phut
14000/1340000 | van 195 | khai 25% trung 51% tan 24% | 9788 mau/phut
14500/1340000 | van 201 | khai 24% trung 52% tan 24% | 9819 mau/phut
15000/1340000 | van 208 | khai 24% trung 52% tan 24% | 9871 mau/phut
15500/1340000 | van 215 | khai 24% trung 52% tan 24% | 9772 mau/phut
16000/1340000 | van 223 | khai 24% trung 52% tan 24% | 9715 mau/phut
16500/1340000 | van 230 | khai 25% trung 51% tan 24% | 9708 mau/phut
17000/1340000 | van 237 | khai 25% trung 52% tan 24% | 9698 mau/phut
17500/1340000 | van 243 | khai 24% trung 51% tan 24% | 9722 mau/phut
