377152 the co goc | da co 0 mau trong data/data_pikafish_s12.jsonl | phan bo hien tai {'khai_cuoc': 0, 'trung_cuoc': 0, 'tan_cuoc': 0}
500/32000 | van 10 | khai 33% trung 50% tan 17% | 15704 mau/phut
1000/32000 | van 18 | khai 28% trung 47% tan 25% | 18174 mau/phut
1500/32000 | van 25 | khai 27% trung 47% tan 26% | 19590 mau/phut
2000/32000 | van 33 | khai 26% trung 51% tan 23% | 20473 mau/phut
2500/32000 | van 40 | khai 25% trung 50% tan 24% | 20972 mau/phut
3000/32000 | van 48 | khai 25% trung 52% tan 23% | 20765 mau/phut
3500/32000 | van 60 | khai 27% trung 52% tan 21% | 17585 mau/phut
4000/32000 | van 70 | khai 29% trung 51% tan 20% | 17660 mau/phut
4500/32000 | van 77 | khai 28% trung 50% tan 22% | 17996 mau/phut
5000/32000 | van 84 | khai 27% trung 51% tan 22% | 17591 mau/phut
5500/32000 | van 89 | khai 27% trung 50% tan 23% | 17525 mau/phut
6000/32000 | van 95 | khai 26% trung 50% tan 24% | 17835 mau/phut
6500/32000 | van 100 | khai 26% trung 49% tan 25% | 17809 mau/phut
7000/32000 | van 107 | khai 26% trung 49% tan 25% | 17806 mau/phut
7500/32000 | van 113 | khai 26% trung 49% tan 25% | 17908 mau/phut
8000/32000 | van 120 | khai 26% trung 49% tan 25% | 18050 mau/phut
8500/32000 | van 127 | khai 26% trung 49% tan 25% | 17975 mau/phut
9000/32000 | van 133 | khai 25% trung 50% tan 25% | 18059 mau/phut
9500/32000 | van 141 | khai 25% trung 50% tan 25% | 17597 mau/phut
10000/32000 | van 146 | khai 25% trung 50% tan 25% | 17491 mau/phut
10500/32000 | van 153 | khai 25% trung 50% tan 25% | 17534 mau/phut
11000/32000 | van 160 | khai 25% trung 50% tan 25% | 17614 mau/phut
11500/32000 | van 167 | khai 25% trung 50% tan 25% | 17583 mau/phut
12000/32000 | van 173 | khai 25% trung 50% tan 25% | 17648 mau/phut
12500/32000 | van 180 | khai 25% trung 50% tan 25% | 17726 mau/phut
13000/32000 | van 186 | khai 25% trung 50% tan 25% | 17861 mau/phut
13500/32000 | van 192 | khai 25% trung 51% tan 24% | 17853 mau/phut
14000/32000 | van 198 | khai 25% trung 51% tan 24% | 17765 mau/phut
14500/32000 | van 206 | khai 25% trung 51% tan 24% | 17874 mau/phut
15000/32000 | van 213 | khai 24% trung 51% tan 24% | 18005 mau/phut
15500/32000 | van 221 | khai 24% trung 51% tan 24% | 18043 mau/phut
16000/32000 | van 228 | khai 24% trung 51% tan 24% | 18052 mau/phut
16500/32000 | van 235 | khai 24% trung 51% tan 24% | 18006 mau/phut
17000/32000 | van 242 | khai 25% trung 51% tan 24% | 17968 mau/phut
17500/32000 | van 249 | khai 25% trung 51% tan 24% | 18005 mau/phut
18000/32000 | van 255 | khai 24% trung 51% tan 24% | 17999 mau/phut
18500/32000 | van 264 | khai 25% trung 51% tan 24% | 17862 mau/phut
19000/32000 | van 269 | khai 25% trung 51% tan 25% | 17878 mau/phut
19500/32000 | van 276 | khai 25% trung 51% tan 24% | 17753 mau/phut
20000/32000 | van 284 | khai 25% trung 51% tan 24% | 17762 mau/phut
20500/32000 | van 291 | khai 25% trung 51% tan 24% | 17784 mau/phut
21000/32000 | van 297 | khai 25% trung 51% tan 24% | 17857 mau/phut
21500/32000 | van 302 | khai 24% trung 51% tan 24% | 17838 mau/phut
22000/32000 | van 310 | khai 24% trung 51% tan 24% | 17798 mau/phut
22500/32000 | van 316 | khai 24% trung 51% tan 24% | 17815 mau/phut
23000/32000 | van 323 | khai 24% trung 51% tan 24% | 17801 mau/phut
23500/32000 | van 330 | khai 24% trung 51% tan 24% | 17727 mau/phut
24000/32000 | van 339 | khai 24% trung 51% tan 24% | 17605 mau/phut
24500/32000 | van 346 | khai 24% trung 52% tan 24% | 17575 mau/phut
25000/32000 | van 352 | khai 24% trung 52% tan 24% | 17607 mau/phut
25500/32000 | van 359 | khai 24% trung 52% tan 24% | 17602 mau/phut
26000/32000 | van 365 | khai 24% trung 52% tan 24% | 17593 mau/phut
26500/32000 | van 373 | khai 24% trung 52% tan 24% | 17620 mau/phut
27000/32000 | van 380 | khai 24% trung 52% tan 24% | 17542 mau/phut
27500/32000 | van 385 | khai 24% trung 52% tan 24% | 17537 mau/phut
28000/32000 | van 392 | khai 24% trung 52% tan 24% | 17514 mau/phut
28500/32000 | van 399 | khai 24% trung 52% tan 24% | 17516 mau/phut
29000/32000 | van 405 | khai 24% trung 52% tan 24% | 17562 mau/phut
29500/32000 | van 412 | khai 24% trung 52% tan 24% | 17584 mau/phut
30000/32000 | van 419 | khai 24% trung 52% tan 24% | 17636 mau/phut
30500/32000 | van 426 | khai 24% trung 52% tan 24% | 17576 mau/phut
31000/32000 | van 433 | khai 24% trung 52% tan 24% | 17542 mau/phut
31500/32000 | van 439 | khai 24% trung 52% tan 24% | 17585 mau/phut
32000/32000 | van 446 | khai 24% trung 52% tan 24% | 17587 mau/phut
Xong. 32000 mau moi trong 1.8 phut (1,055,105 mau/gio). Tong: 32000 | so lan engine treo phai khoi dong lai: 0
