377152 the co goc | da co 86500 mau trong data/data_pikafish_s18.jsonl | phan bo hien tai {'khai_cuoc': 21167, 'trung_cuoc': 44262, 'tan_cuoc': 21071}
87000/1340000 | van 11 | khai 24% trung 51% tan 24% | 6848 mau/phut
87500/1340000 | van 16 | khai 24% trung 51% tan 24% | 8936 mau/phut
88000/1340000 | van 23 | khai 24% trung 51% tan 24% | 10506 mau/phut
88500/1340000 | van 29 | khai 24% trung 51% tan 24% | 11467 mau/phut
89000/1340000 | van 37 | khai 24% trung 51% tan 24% | 12340 mau/phut
89500/1340000 | van 44 | khai 24% trung 51% tan 24% | 12622 mau/phut
90000/1340000 | van 50 | khai 24% trung 51% tan 24% | 12740 mau/phut
90500/1340000 | van 57 | khai 24% trung 51% tan 24% | 13057 mau/phut
91000/1340000 | van 64 | khai 24% trung 51% tan 24% | 13310 mau/phut
91500/1340000 | van 71 | khai 24% trung 51% tan 24% | 13624 mau/phut
92000/1340000 | van 78 | khai 24% trung 51% tan 24% | 13691 mau/phut
92500/1340000 | van 85 | khai 24% trung 51% tan 24% | 13724 mau/phut
93000/1340000 | van 92 | khai 24% trung 51% tan 24% | 13812 mau/phut
93500/1340000 | van 98 | khai 24% trung 51% tan 24% | 13700 mau/phut
94000/1340000 | van 105 | khai 24% trung 51% tan 24% | 13583 mau/phut
94500/1340000 | van 112 | khai 24% trung 51% tan 24% | 13623 mau/phut
95000/1340000 | van 119 | khai 24% trung 51% tan 24% | 13634 mau/phut
95500/1340000 | van 124 | khai 24% trung 51% tan 24% | 13781 mau/phut
96000/1340000 | van 132 | khai 24% trung 51% tan 24% | 13730 mau/phut
96500/1340000 | van 138 | khai 24% trung 51% tan 24% | 13755 mau/phut
97000/1340000 | van 144 | khai 24% trung 51% tan 24% | 13756 mau/phut
97500/1340000 | van 151 | khai 24% trung 51% tan 24% | 13768 mau/phut
98000/1340000 | van 159 | khai 24% trung 51% tan 24% | 13772 mau/phut
98500/1340000 | van 165 | khai 24% trung 51% tan 24% | 13754 mau/phut
99000/1340000 | van 172 | khai 24% trung 51% tan 24% | 13806 mau/phut
99500/1340000 | van 178 | khai 24% trung 51% tan 24% | 13411 mau/phut
100000/1340000 | van 184 | khai 24% trung 51% tan 24% | 13172 mau/phut
100500/1340000 | van 191 | khai 24% trung 51% tan 24% | 12789 mau/phut
101000/1340000 | van 199 | khai 24% trung 51% tan 24% | 12818 mau/phut
101500/1340000 | van 205 | khai 24% trung 51% tan 24% | 12913 mau/phut
102000/1340000 | van 212 | khai 24% trung 52% tan 24% | 12731 mau/phut
102500/1340000 | van 219 | khai 24% trung 52% tan 24% | 12721 mau/phut
103000/1340000 | van 224 | khai 24% trung 51% tan 24% | 12659 mau/phut
103500/1340000 | van 231 | khai 24% trung 52% tan 24% | 12621 mau/phut
