377152 the co goc | da co 0 mau trong data/data_pikafish_s13.jsonl | phan bo hien tai {'khai_cuoc': 0, 'trung_cuoc': 0, 'tan_cuoc': 0}
500/32000 | van 10 | khai 35% trung 51% tan 14% | 20357 mau/phut
1000/32000 | van 16 | khai 28% trung 47% tan 25% | 22540 mau/phut
1500/32000 | van 22 | khai 26% trung 50% tan 24% | 23069 mau/phut
2000/32000 | van 35 | khai 30% trung 51% tan 19% | 21787 mau/phut
2500/32000 | van 49 | khai 33% trung 52% tan 15% | 19948 mau/phut
3000/32000 | van 60 | khai 35% trung 51% tan 14% | 19389 mau/phut
3500/32000 | van 65 | khai 33% trung 50% tan 18% | 17223 mau/phut
4000/32000 | van 69 | khai 30% trung 48% tan 21% | 17458 mau/phut
4500/32000 | van 77 | khai 30% trung 48% tan 22% | 17185 mau/phut
5000/32000 | van 83 | khai 29% trung 48% tan 23% | 17605 mau/phut
5500/32000 | van 88 | khai 29% trung 47% tan 24% | 17648 mau/phut
6000/32000 | van 96 | khai 29% trung 49% tan 23% | 17557 mau/phut
6500/32000 | van 101 | khai 28% trung 49% tan 23% | 17850 mau/phut
7000/32000 | van 107 | khai 27% trung 49% tan 24% | 18106 mau/phut
7500/32000 | van 113 | khai 27% trung 49% tan 25% | 18284 mau/phut
8000/32000 | van 118 | khai 27% trung 48% tan 25% | 18328 mau/phut
8500/32000 | van 124 | khai 27% trung 48% tan 25% | 18401 mau/phut
9000/32000 | van 129 | khai 26% trung 48% tan 26% | 18686 mau/phut
9500/32000 | van 137 | khai 26% trung 48% tan 26% | 18933 mau/phut
10000/32000 | van 145 | khai 27% trung 48% tan 25% | 18465 mau/phut
10500/32000 | van 150 | khai 26% trung 48% tan 26% | 18332 mau/phut
11000/32000 | van 159 | khai 26% trung 49% tan 25% | 18130 mau/phut
11500/32000 | van 165 | khai 26% trung 49% tan 25% | 18119 mau/phut
12000/32000 | van 172 | khai 26% trung 49% tan 25% | 18157 mau/phut
12500/32000 | van 178 | khai 26% trung 49% tan 25% | 18111 mau/phut
13000/32000 | van 184 | khai 26% trung 49% tan 25% | 18184 mau/phut
13500/32000 | van 190 | khai 26% trung 49% tan 25% | 18261 mau/phut
14000/32000 | van 197 | khai 26% trung 49% tan 25% | 18284 mau/phut
14500/32000 | van 205 | khai 25% trung 49% tan 25% | 18365 mau/phut
15000/32000 | van 213 | khai 25% trung 49% tan 25% | 18272 mau/phut
15500/32000 | van 220 | khai 25% trung 49% tan 25% | 18224 mau/phut
16000/32000 | van 226 | khai 25% trung 50% tan 25% | 18312 mau/phut
16500/32000 | van 233 | khai 25% trung 50% tan 25% | 18224 mau/phut
17000/32000 | van 240 | khai 25% trung 50% tan 25% | 18157 mau/phut
17500/32000 | van 246 | khai 25% trung 50% tan 25% | 18214 mau/phut
18000/32000 | van 252 | khai 25% trung 50% tan 25% | 18263 mau/phut
18500/32000 | van 259 | khai 25% trung 50% tan 25% | 18413 mau/phut
19000/32000 | van 268 | khai 25% trung 50% tan 25% | 18416 mau/phut
19500/32000 | van 275 | khai 25% trung 50% tan 25% | 18459 mau/phut
20000/32000 | van 280 | khai 25% trung 50% tan 25% | 18533 mau/phut
20500/32000 | van 285 | khai 25% trung 50% tan 25% | 18587 mau/phut
21000/32000 | van 291 | khai 25% trung 50% tan 25% | 18550 mau/phut
21500/32000 | van 298 | khai 25% trung 50% tan 25% | 18413 mau/phut
22000/32000 | van 306 | khai 25% trung 50% tan 25% | 18423 mau/phut
22500/32000 | van 312 | khai 25% trung 50% tan 25% | 18451 mau/phut
23000/32000 | van 319 | khai 25% trung 50% tan 25% | 18390 mau/phut
23500/32000 | van 325 | khai 25% trung 50% tan 25% | 18346 mau/phut
24000/32000 | van 331 | khai 25% trung 50% tan 25% | 18363 mau/phut
24500/32000 | van 337 | khai 25% trung 50% tan 25% | 18346 mau/phut
25000/32000 | van 344 | khai 25% trung 50% tan 25% | 18226 mau/phut
25500/32000 | van 350 | khai 25% trung 50% tan 25% | 18267 mau/phut
26000/32000 | van 357 | khai 25% trung 50% tan 25% | 18288 mau/phut
26500/32000 | van 363 | khai 25% trung 50% tan 25% | 18308 mau/phut
27000/32000 | van 370 | khai 25% trung 50% tan 25% | 18340 mau/phut
27500/32000 | van 376 | khai 25% trung 50% tan 25% | 18334 mau/phut
28000/32000 | van 383 | khai 25% trung 50% tan 25% | 18274 mau/phut
28500/32000 | van 390 | khai 25% trung 50% tan 25% | 18197 mau/phut
29000/32000 | van 397 | khai 25% trung 50% tan 25% | 18251 mau/phut
29500/32000 | van 405 | khai 25% trung 51% tan 24% | 18154 mau/phut
30000/32000 | van 411 | khai 25% trung 51% tan 25% | 18211 mau/phut
30500/32000 | van 417 | khai 25% trung 51% tan 25% | 18223 mau/phut
31000/32000 | van 425 | khai 25% trung 51% tan 24% | 18105 mau/phut
31500/32000 | van 430 | khai 25% trung 50% tan 25% | 18053 mau/phut
32000/32000 | van 437 | khai 25% trung 51% tan 25% | 17960 mau/phut
Xong. 32000 mau moi trong 1.8 phut (1,077,535 mau/gio). Tong: 32000 | so lan engine treo phai khoi dong lai: 0
