377152 the co goc | da co 88914 mau trong data/data_pikafish_s19.jsonl | phan bo hien tai {'khai_cuoc': 21788, 'trung_cuoc': 45366, 'tan_cuoc': 21760}
89414/1340000 | van 9 | khai 24% trung 51% tan 24% | 8609 mau/phut
89914/1340000 | van 17 | khai 24% trung 51% tan 24% | 10393 mau/phut
90414/1340000 | van 24 | khai 24% trung 51% tan 24% | 10977 mau/phut
90914/1340000 | van 32 | khai 24% trung 51% tan 24% | 12500 mau/phut
91414/1340000 | van 39 | khai 24% trung 51% tan 24% | 12936 mau/phut
91914/1340000 | van 45 | khai 24% trung 51% tan 24% | 13209 mau/phut
92414/1340000 | van 54 | khai 24% trung 51% tan 24% | 13415 mau/phut
92914/1340000 | van 61 | khai 24% trung 51% tan 24% | 13377 mau/phut
93414/1340000 | van 69 | khai 24% trung 51% tan 24% | 13589 mau/phut
93914/1340000 | van 77 | khai 24% trung 51% tan 24% | 13467 mau/phut
94414/1340000 | van 83 | khai 24% trung 51% tan 24% | 13771 mau/phut
94914/1340000 | van 91 | khai 24% trung 51% tan 24% | 13859 mau/phut
95414/1340000 | van 98 | khai 24% trung 51% tan 24% | 13854 mau/phut
95914/1340000 | van 104 | khai 24% trung 51% tan 24% | 13964 mau/phut
96414/1340000 | van 111 | khai 24% trung 51% tan 24% | 14084 mau/phut
96914/1340000 | van 118 | khai 24% trung 51% tan 24% | 13894 mau/phut
97414/1340000 | van 124 | khai 24% trung 51% tan 24% | 13969 mau/phut
97914/1340000 | van 130 | khai 24% trung 51% tan 24% | 14000 mau/phut
98414/1340000 | van 136 | khai 24% trung 51% tan 24% | 13162 mau/phut
98914/1340000 | van 144 | khai 25% trung 51% tan 24% | 13299 mau/phut
99414/1340000 | van 150 | khai 24% trung 51% tan 24% | 13404 mau/phut
99914/1340000 | van 157 | khai 24% trung 51% tan 24% | 13454 mau/phut
100414/1340000 | van 165 | khai 24% trung 51% tan 24% | 13432 mau/phut
100914/1340000 | van 171 | khai 24% trung 51% tan 24% | 13372 mau/phut
101414/1340000 | van 178 | khai 24% trung 51% tan 24% | 13031 mau/phut
101914/1340000 | van 185 | khai 25% trung 51% tan 24% | 12822 mau/phut
102414/1340000 | van 192 | khai 24% trung 51% tan 24% | 12698 mau/phut
102914/1340000 | van 200 | khai 24% trung 51% tan 24% | 12571 mau/phut
103414/1340000 | van 208 | khai 24% trung 51% tan 24% | 12557 mau/phut
103914/1340000 | van 214 | khai 24% trung 51% tan 24% | 12530 mau/phut
104414/1340000 | van 222 | khai 25% trung 51% tan 24% | 12440 mau/phut
104914/1340000 | van 227 | khai 24% trung 51% tan 24% | 12417 mau/phut
105414/1340000 | van 234 | khai 24% trung 51% tan 24% | 12397 mau/phut
105914/1340000 | van 240 | khai 25% trung 51% tan 24% | 12330 mau/phut
106414/1340000 | van 248 | khai 25% trung 51% tan 24% | 12205 mau/phut
106914/1340000 | van 254 | khai 25% trung 51% tan 24% | 12040 mau/phut
107414/1340000 | van 260 | khai 24% trung 51% tan 24% | 11972 mau/phut
107914/1340000 | van 268 | khai 24% trung 51% tan 24% | 11844 mau/phut
108414/1340000 | van 274 | khai 24% trung 51% tan 24% | 11263 mau/phut
108914/1340000 | van 281 | khai 24% trung 51% tan 24% | 9464 mau/phut
109414/1340000 | van 289 | khai 24% trung 51% tan 24% | 7207 mau/phut
109914/1340000 | van 296 | khai 24% trung 51% tan 24% | 6989 mau/phut
110414/1340000 | van 302 | khai 24% trung 51% tan 24% | 6936 mau/phut
110914/1340000 | van 308 | khai 24% trung 51% tan 24% | 6909 mau/phut
