377152 the co goc | da co 0 mau trong data/data_pikafish_s14.jsonl | phan bo hien tai {'khai_cuoc': 0, 'trung_cuoc': 0, 'tan_cuoc': 0}
500/32000 | van 12 | khai 42% trung 52% tan 6% | 17232 mau/phut
1000/32000 | van 24 | khai 45% trung 52% tan 3% | 16593 mau/phut
1500/32000 | van 41 | khai 46% trung 52% tan 2% | 15701 mau/phut
2000/32000 | van 56 | khai 46% trung 52% tan 2% | 16350 mau/phut
2500/32000 | van 67 | khai 45% trung 49% tan 6% | 16725 mau/phut
3000/32000 | van 73 | khai 40% trung 49% tan 10% | 14916 mau/phut
3500/32000 | van 81 | khai 39% trung 49% tan 11% | 15564 mau/phut
4000/32000 | van 87 | khai 37% trung 50% tan 13% | 16155 mau/phut
4500/32000 | van 93 | khai 35% trung 48% tan 17% | 16802 mau/phut
5000/32000 | van 99 | khai 34% trung 48% tan 18% | 16926 mau/phut
5500/32000 | van 106 | khai 33% trung 48% tan 19% | 16896 mau/phut
6000/32000 | van 114 | khai 32% trung 47% tan 20% | 17129 mau/phut
6500/32000 | van 119 | khai 31% trung 47% tan 22% | 17508 mau/phut
7000/32000 | van 128 | khai 31% trung 48% tan 21% | 17275 mau/phut
7500/32000 | van 135 | khai 30% trung 48% tan 21% | 17447 mau/phut
8000/32000 | van 141 | khai 30% trung 49% tan 21% | 17544 mau/phut
8500/32000 | van 146 | khai 29% trung 48% tan 23% | 17791 mau/phut
9000/32000 | van 151 | khai 29% trung 48% tan 24% | 17993 mau/phut
9500/32000 | van 157 | khai 28% trung 48% tan 24% | 17991 mau/phut
10000/32000 | van 164 | khai 28% trung 48% tan 24% | 17779 mau/phut
10500/32000 | van 171 | khai 28% trung 48% tan 24% | 16167 mau/phut
11000/32000 | van 177 | khai 28% trung 48% tan 24% | 16087 mau/phut
11500/32000 | van 183 | khai 27% trung 48% tan 25% | 16247 mau/phut
12000/32000 | van 189 | khai 27% trung 48% tan 25% | 16409 mau/phut
12500/32000 | van 197 | khai 27% trung 48% tan 25% | 16424 mau/phut
13000/32000 | van 203 | khai 27% trung 48% tan 25% | 16588 mau/phut
13500/32000 | van 209 | khai 26% trung 48% tan 25% | 16656 mau/phut
14000/32000 | van 215 | khai 26% trung 48% tan 26% | 16700 mau/phut
14500/32000 | van 222 | khai 26% trung 48% tan 25% | 16688 mau/phut
15000/32000 | van 228 | khai 26% trung 48% tan 26% | 16710 mau/phut
15500/32000 | van 234 | khai 26% trung 48% tan 26% | 16817 mau/phut
16000/32000 | van 242 | khai 26% trung 48% tan 26% | 16920 mau/phut
16500/32000 | van 248 | khai 26% trung 49% tan 26% | 16847 mau/phut
17000/32000 | van 254 | khai 26% trung 49% tan 26% | 16877 mau/phut
17500/32000 | van 262 | khai 26% trung 49% tan 25% | 16949 mau/phut
18000/32000 | van 269 | khai 26% trung 49% tan 26% | 17055 mau/phut
18500/32000 | van 275 | khai 26% trung 49% tan 26% | 17061 mau/phut
19000/32000 | van 282 | khai 26% trung 49% tan 25% | 17127 mau/phut
19500/32000 | van 288 | khai 26% trung 49% tan 26% | 17155 mau/phut
20000/32000 | van 294 | khai 26% trung 49% tan 25% | 17117 mau/phut
20500/32000 | van 300 | khai 25% trung 49% tan 25% | 17184 mau/phut
21000/32000 | van 307 | khai 25% trung 49% tan 25% | 17258 mau/phut
21500/32000 | van 314 | khai 25% trung 49% tan 25% | 17168 mau/phut
22000/32000 | van 321 | khai 25% trung 49% tan 25% | 17182 mau/phut
22500/32000 | van 328 | khai 25% trung 49% tan 25% | 17130 mau/phut
23000/32000 | van 334 | khai 25% trung 50% tan 25% | 17056 mau/phut
23500/32000 | van 340 | khai 26% trung 49% tan 25% | 17026 mau/phut
24000/32000 | van 348 | khai 26% trung 49% tan 25% | 17009 mau/phut
24500/32000 | van 354 | khai 25% trung 49% tan 25% | 17026 mau/phut
25000/32000 | van 360 | khai 26% trung 49% tan 25% | 17062 mau/phut
25500/32000 | van 366 | khai 25% trung 49% tan 25% | 17094 mau/phut
26000/32000 | van 374 | khai 25% trung 49% tan 25% | 17098 mau/phut
26500/32000 | van 381 | khai 25% trung 49% tan 25% | 17074 mau/phut
27000/32000 | van 387 | khai 25% trung 49% tan 25% | 17112 mau/phut
27500/32000 | van 394 | khai 25% trung 49% tan 25% | 17128 mau/phut
28000/32000 | van 401 | khai 25% trung 50% tan 25% | 17157 mau/phut
28500/32000 | van 407 | khai 25% trung 49% tan 25% | 17131 mau/phut
29000/32000 | van 414 | khai 25% trung 50% tan 25% | 17118 mau/phut
29500/32000 | van 422 | khai 25% trung 50% tan 25% | 17040 mau/phut
30000/32000 | van 429 | khai 25% trung 50% tan 25% | 17009 mau/phut
30500/32000 | van 435 | khai 25% trung 50% tan 25% | 17029 mau/phut
31000/32000 | van 441 | khai 25% trung 50% tan 25% | 17022 mau/phut
31500/32000 | van 449 | khai 25% trung 50% tan 25% | 17077 mau/phut
32000/32000 | van 456 | khai 25% trung 50% tan 25% | 17156 mau/phut
Xong. 32000 mau moi trong 1.9 phut (1,029,345 mau/gio). Tong: 32000 | so lan engine treo phai khoi dong lai: 0
