377152 the co goc | da co 86964 mau trong data/data_pikafish_s17.jsonl | phan bo hien tai {'khai_cuoc': 21201, 'trung_cuoc': 44604, 'tan_cuoc': 21159}
87464/1340000 | van 10 | khai 24% trung 51% tan 24% | 9888 mau/phut
87964/1340000 | van 17 | khai 24% trung 51% tan 24% | 11011 mau/phut
88464/1340000 | van 23 | khai 24% trung 51% tan 24% | 12116 mau/phut
88964/1340000 | van 30 | khai 24% trung 51% tan 24% | 12837 mau/phut
89464/1340000 | van 38 | khai 24% trung 51% tan 24% | 13283 mau/phut
89964/1340000 | van 46 | khai 24% trung 51% tan 24% | 13455 mau/phut
90464/1340000 | van 51 | khai 24% trung 51% tan 24% | 13878 mau/phut
90964/1340000 | van 58 | khai 24% trung 51% tan 24% | 13922 mau/phut
91464/1340000 | van 64 | khai 24% trung 51% tan 24% | 14039 mau/phut
91964/1340000 | van 70 | khai 24% trung 51% tan 24% | 14457 mau/phut
92464/1340000 | van 77 | khai 24% trung 51% tan 24% | 14491 mau/phut
92964/1340000 | van 83 | khai 24% trung 51% tan 24% | 14551 mau/phut
93464/1340000 | van 90 | khai 24% trung 51% tan 24% | 14431 mau/phut
93964/1340000 | van 96 | khai 24% trung 51% tan 24% | 14479 mau/phut
94464/1340000 | van 103 | khai 24% trung 51% tan 24% | 14561 mau/phut
94964/1340000 | van 110 | khai 24% trung 51% tan 24% | 14503 mau/phut
95464/1340000 | van 116 | khai 24% trung 51% tan 24% | 14479 mau/phut
95964/1340000 | van 122 | khai 24% trung 51% tan 24% | 14550 mau/phut
96464/1340000 | van 129 | khai 24% trung 51% tan 24% | 14617 mau/phut
96964/1340000 | van 136 | khai 24% trung 51% tan 24% | 14424 mau/phut
97464/1340000 | van 142 | khai 24% trung 51% tan 24% | 14294 mau/phut
97964/1340000 | van 149 | khai 24% trung 51% tan 24% | 14173 mau/phut
98464/1340000 | van 155 | khai 24% trung 51% tan 24% | 14190 mau/phut
98964/1340000 | van 162 | khai 24% trung 51% tan 24% | 14281 mau/phut
99464/1340000 | van 168 | khai 24% trung 51% tan 24% | 14094 mau/phut
99964/1340000 | van 176 | khai 24% trung 51% tan 24% | 13664 mau/phut
100464/1340000 | van 180 | khai 24% trung 51% tan 24% | 13287 mau/phut
100964/1340000 | van 187 | khai 24% trung 51% tan 24% | 12895 mau/phut
101464/1340000 | van 194 | khai 24% trung 51% tan 24% | 12779 mau/phut
101964/1340000 | van 200 | khai 24% trung 51% tan 24% | 12804 mau/phut
102464/1340000 | van 205 | khai 24% trung 51% tan 24% | 12760 mau/phut
102964/1340000 | van 213 | khai 24% trung 51% tan 24% | 12732 mau/phut
103464/1340000 | van 220 | khai 24% trung 51% tan 24% | 12703 mau/phut
103964/1340000 | van 228 | khai 24% trung 51% tan 24% | 12523 mau/phut
104464/1340000 | van 234 | khai 24% trung 51% tan 24% | 12452 mau/phut
104964/1340000 | van 241 | khai 24% trung 51% tan 24% | 12327 mau/phut
105464/1340000 | van 248 | khai 24% trung 51% tan 24% | 12181 mau/phut
105964/1340000 | van 255 | khai 24% trung 51% tan 24% | 12034 mau/phut
106464/1340000 | van 262 | khai 24% trung 51% tan 24% | 11737 mau/phut
106964/1340000 | van 267 | khai 24% trung 51% tan 24% | 9919 mau/phut
107464/1340000 | van 273 | khai 24% trung 51% tan 24% | 7304 mau/phut
107964/1340000 | van 279 | khai 24% trung 51% tan 24% | 6934 mau/phut
108464/1340000 | van 284 | khai 24% trung 51% tan 24% | 6840 mau/phut
108964/1340000 | van 292 | khai 24% trung 51% tan 24% | 6821 mau/phut
109464/1340000 | van 298 | khai 24% trung 51% tan 24% | 6810 mau/phut
109964/1340000 | van 304 | khai 24% trung 51% tan 24% | 6821 mau/phut
110464/1340000 | van 311 | khai 24% trung 51% tan 24% | 6815 mau/phut
110964/1340000 | van 319 | khai 24% trung 51% tan 24% | 6851 mau/phut
111464/1340000 | van 326 | khai 25% trung 51% tan 24% | 6869 mau/phut
111964/1340000 | van 333 | khai 25% trung 51% tan 24% | 6865 mau/phut
112464/1340000 | van 339 | khai 25% trung 51% tan 25% | 6891 mau/phut
112964/1340000 | van 346 | khai 25% trung 51% tan 25% | 6802 mau/phut
113464/1340000 | van 352 | khai 25% trung 51% tan 25% | 6847 mau/phut
113964/1340000 | van 359 | khai 25% trung 51% tan 25% | 6877 mau/phut
114464/1340000 | van 366 | khai 25% trung 51% tan 25% | 6932 mau/phut
114964/1340000 | van 372 | khai 25% trung 51% tan 25% | 6990 mau/phut
115464/1340000 | van 378 | khai 25% trung 51% tan 25% | 7060 mau/phut
115964/1340000 | van 384 | khai 25% trung 51% tan 25% | 7126 mau/phut
