377152 the co goc | da co 0 mau trong data/data_pikafish_s15.jsonl | phan bo hien tai {'khai_cuoc': 0, 'trung_cuoc': 0, 'tan_cuoc': 0}
500/32000 | van 11 | khai 34% trung 51% tan 15% | 16685 mau/phut
1000/32000 | van 22 | khai 41% trung 52% tan 7% | 17338 mau/phut
1500/32000 | van 36 | khai 43% trung 52% tan 5% | 16920 mau/phut
2000/32000 | van 43 | khai 40% trung 50% tan 10% | 17553 mau/phut
2500/32000 | van 48 | khai 36% trung 49% tan 15% | 18727 mau/phut
3000/32000 | van 53 | khai 33% trung 48% tan 19% | 18748 mau/phut
3500/32000 | van 60 | khai 31% trung 48% tan 21% | 16981 mau/phut
4000/32000 | van 66 | khai 30% trung 49% tan 21% | 17457 mau/phut
4500/32000 | van 71 | khai 28% trung 47% tan 25% | 17898 mau/phut
5000/32000 | van 79 | khai 28% trung 47% tan 25% | 17748 mau/phut
5500/32000 | van 85 | khai 28% trung 48% tan 24% | 17903 mau/phut
6000/32000 | van 91 | khai 28% trung 47% tan 24% | 17584 mau/phut
6500/32000 | van 98 | khai 28% trung 48% tan 25% | 17898 mau/phut
7000/32000 | van 104 | khai 27% trung 48% tan 24% | 17745 mau/phut
7500/32000 | van 109 | khai 27% trung 48% tan 26% | 17668 mau/phut
8000/32000 | van 115 | khai 26% trung 48% tan 26% | 17749 mau/phut
8500/32000 | van 125 | khai 26% trung 48% tan 25% | 17834 mau/phut
9000/32000 | van 131 | khai 26% trung 48% tan 26% | 18045 mau/phut
9500/32000 | van 137 | khai 26% trung 49% tan 25% | 18156 mau/phut
10000/32000 | van 143 | khai 26% trung 49% tan 25% | 17878 mau/phut
10500/32000 | van 150 | khai 25% trung 49% tan 25% | 17836 mau/phut
11000/32000 | van 157 | khai 25% trung 49% tan 25% | 17896 mau/phut
11500/32000 | van 164 | khai 26% trung 49% tan 25% | 17964 mau/phut
12000/32000 | van 171 | khai 26% trung 49% tan 25% | 18035 mau/phut
12500/32000 | van 178 | khai 25% trung 50% tan 25% | 18127 mau/phut
13000/32000 | van 185 | khai 26% trung 50% tan 25% | 18181 mau/phut
13500/32000 | van 192 | khai 26% trung 49% tan 25% | 18320 mau/phut
14000/32000 | van 198 | khai 26% trung 49% tan 25% | 18314 mau/phut
14500/32000 | van 207 | khai 26% trung 50% tan 25% | 18207 mau/phut
15000/32000 | van 214 | khai 25% trung 50% tan 25% | 18139 mau/phut
15500/32000 | van 220 | khai 25% trung 50% tan 25% | 18109 mau/phut
16000/32000 | van 226 | khai 25% trung 50% tan 25% | 18101 mau/phut
16500/32000 | van 233 | khai 25% trung 50% tan 25% | 18061 mau/phut
17000/32000 | van 240 | khai 25% trung 50% tan 25% | 18068 mau/phut
17500/32000 | van 246 | khai 25% trung 50% tan 25% | 17987 mau/phut
18000/32000 | van 253 | khai 25% trung 50% tan 25% | 17925 mau/phut
18500/32000 | van 259 | khai 25% trung 51% tan 25% | 17948 mau/phut
19000/32000 | van 266 | khai 25% trung 51% tan 25% | 17962 mau/phut
19500/32000 | van 272 | khai 25% trung 51% tan 25% | 17954 mau/phut
20000/32000 | van 279 | khai 25% trung 51% tan 25% | 17983 mau/phut
20500/32000 | van 285 | khai 25% trung 50% tan 25% | 17976 mau/phut
21000/32000 | van 293 | khai 25% trung 50% tan 25% | 17919 mau/phut
21500/32000 | van 300 | khai 25% trung 50% tan 25% | 17947 mau/phut
22000/32000 | van 307 | khai 25% trung 50% tan 25% | 17964 mau/phut
22500/32000 | van 312 | khai 25% trung 51% tan 25% | 17910 mau/phut
23000/32000 | van 320 | khai 25% trung 51% tan 25% | 17837 mau/phut
23500/32000 | van 326 | khai 25% trung 51% tan 24% | 17698 mau/phut
24000/32000 | van 333 | khai 25% trung 51% tan 24% | 17628 mau/phut
24500/32000 | van 338 | khai 25% trung 51% tan 25% | 17632 mau/phut
25000/32000 | van 345 | khai 25% trung 51% tan 25% | 17596 mau/phut
25500/32000 | van 353 | khai 25% trung 51% tan 24% | 17671 mau/phut
26000/32000 | van 358 | khai 25% trung 51% tan 25% | 17680 mau/phut
26500/32000 | van 365 | khai 25% trung 50% tan 25% | 17667 mau/phut
27000/32000 | van 371 | khai 25% trung 51% tan 25% | 17675 mau/phut
27500/32000 | van 379 | khai 25% trung 51% tan 25% | 17578 mau/phut
28000/32000 | van 385 | khai 25% trung 51% tan 25% | 17503 mau/phut
28500/32000 | van 391 | khai 25% trung 51% tan 25% | 17473 mau/phut
29000/32000 | van 398 | khai 25% trung 51% tan 25% | 17482 mau/phut
29500/32000 | van 405 | khai 25% trung 51% tan 25% | 17503 mau/phut
30000/32000 | van 414 | khai 25% trung 51% tan 24% | 17505 mau/phut
30500/32000 | van 420 | khai 25% trung 51% tan 25% | 17423 mau/phut
31000/32000 | van 428 | khai 25% trung 51% tan 24% | 17331 mau/phut
31500/32000 | van 434 | khai 25% trung 51% tan 24% | 17338 mau/phut
32000/32000 | van 441 | khai 25% trung 51% tan 24% | 17394 mau/phut
Xong. 32000 mau moi trong 1.8 phut (1,043,575 mau/gio). Tong: 32000 | so lan engine treo phai khoi dong lai: 0
