377152 the co goc | da co 87312 mau trong data/data_pikafish_s20.jsonl | phan bo hien tai {'khai_cuoc': 21736, 'trung_cuoc': 43850, 'tan_cuoc': 21726}
87812/1340000 | van 10 | khai 25% trung 50% tan 25% | 10194 mau/phut
88312/1340000 | van 17 | khai 25% trung 50% tan 25% | 11216 mau/phut
88812/1340000 | van 25 | khai 25% trung 50% tan 25% | 11737 mau/phut
89312/1340000 | van 31 | khai 25% trung 50% tan 25% | 12825 mau/phut
89812/1340000 | van 38 | khai 25% trung 50% tan 25% | 13551 mau/phut
90312/1340000 | van 46 | khai 25% trung 50% tan 25% | 13949 mau/phut
90812/1340000 | van 54 | khai 25% trung 50% tan 25% | 14025 mau/phut
91312/1340000 | van 59 | khai 25% trung 50% tan 25% | 14242 mau/phut
91812/1340000 | van 66 | khai 25% trung 50% tan 25% | 14185 mau/phut
92312/1340000 | van 72 | khai 25% trung 50% tan 25% | 13946 mau/phut
92812/1340000 | van 79 | khai 25% trung 50% tan 25% | 13942 mau/phut
93312/1340000 | van 88 | khai 25% trung 50% tan 25% | 14065 mau/phut
93812/1340000 | van 93 | khai 25% trung 50% tan 25% | 14094 mau/phut
94312/1340000 | van 99 | khai 25% trung 50% tan 25% | 14199 mau/phut
94812/1340000 | van 105 | khai 25% trung 50% tan 25% | 14282 mau/phut
95312/1340000 | van 112 | khai 25% trung 50% tan 25% | 14352 mau/phut
95812/1340000 | van 120 | khai 25% trung 50% tan 25% | 14433 mau/phut
96312/1340000 | van 127 | khai 25% trung 50% tan 25% | 14441 mau/phut
96812/1340000 | van 135 | khai 25% trung 50% tan 25% | 14455 mau/phut
97312/1340000 | van 141 | khai 25% trung 50% tan 25% | 14347 mau/phut
97812/1340000 | van 147 | khai 25% trung 50% tan 25% | 14132 mau/phut
98312/1340000 | van 153 | khai 25% trung 50% tan 25% | 14075 mau/phut
98812/1340000 | van 161 | khai 25% trung 50% tan 25% | 14107 mau/phut
99312/1340000 | van 167 | khai 25% trung 50% tan 25% | 14232 mau/phut
99812/1340000 | van 176 | khai 25% trung 50% tan 25% | 14243 mau/phut
100312/1340000 | van 181 | khai 25% trung 50% tan 25% | 13912 mau/phut
100812/1340000 | van 189 | khai 25% trung 50% tan 25% | 13439 mau/phut
101312/1340000 | van 195 | khai 25% trung 50% tan 25% | 13271 mau/phut
101812/1340000 | van 201 | khai 25% trung 50% tan 25% | 13072 mau/phut
102312/1340000 | van 206 | khai 25% trung 50% tan 25% | 13164 mau/phut
102812/1340000 | van 212 | khai 25% trung 50% tan 25% | 13218 mau/phut
103312/1340000 | van 219 | khai 25% trung 50% tan 25% | 13104 mau/phut
103812/1340000 | van 225 | khai 25% trung 50% tan 25% | 13092 mau/phut
104312/1340000 | van 232 | khai 25% trung 50% tan 25% | 13044 mau/phut
104812/1340000 | van 238 | khai 25% trung 50% tan 25% | 13012 mau/phut
105312/1340000 | van 245 | khai 25% trung 50% tan 25% | 12853 mau/phut
105812/1340000 | van 253 | khai 25% trung 50% tan 25% | 12722 mau/phut
106312/1340000 | van 260 | khai 25% trung 50% tan 25% | 12656 mau/phut
106812/1340000 | van 266 | khai 25% trung 50% tan 25% | 12519 mau/phut
107312/1340000 | van 274 | khai 25% trung 50% tan 25% | 12357 mau/phut
107812/1340000 | van 280 | khai 25% trung 50% tan 25% | 11876 mau/phut
108312/1340000 | van 287 | khai 25% trung 50% tan 25% | 9745 mau/phut
108812/1340000 | van 293 | khai 25% trung 51% tan 25% | 7383 mau/phut
109312/1340000 | van 301 | khai 25% trung 51% tan 25% | 7175 mau/phut
109812/1340000 | van 307 | khai 25% trung 51% tan 25% | 7134 mau/phut
110312/1340000 | van 313 | khai 25% trung 51% tan 25% | 7119 mau/phut
110812/1340000 | van 319 | khai 25% trung 51% tan 25% | 7120 mau/phut
111312/1340000 | van 327 | khai 25% trung 51% tan 25% | 7144 mau/phut
111812/1340000 | van 333 | khai 25% trung 51% tan 25% | 7153 mau/phut
112312/1340000 | van 341 | khai 25% trung 51% tan 25% | 7166 mau/phut
112812/1340000 | van 347 | khai 25% trung 51% tan 25% | 7160 mau/phut
113312/1340000 | van 354 | khai 25% trung 51% tan 25% | 7164 mau/phut
113812/1340000 | van 361 | khai 25% trung 51% tan 25% | 7170 mau/phut
114312/1340000 | van 368 | khai 25% trung 51% tan 25% | 7052 mau/phut
114812/1340000 | van 375 | khai 25% trung 51% tan 25% | 7109 mau/phut
115312/1340000 | van 382 | khai 25% trung 51% tan 25% | 7136 mau/phut
115812/1340000 | van 388 | khai 25% trung 51% tan 25% | 7197 mau/phut
116312/1340000 | van 396 | khai 25% trung 51% tan 25% | 7272 mau/phut
116812/1340000 | van 403 | khai 25% trung 51% tan 25% | 7332 mau/phut
117312/1340000 | van 408 | khai 25% trung 51% tan 25% | 7408 mau/phut
117812/1340000 | van 416 | khai 25% trung 51% tan 25% | 2218 mau/phut
118312/1340000 | van 423 | khai 25% trung 51% tan 25% | 2250 mau/phut
118812/1340000 | van 430 | khai 25% trung 51% tan 25% | 2281 mau/phut
119312/1340000 | van 437 | khai 25% trung 51% tan 25% | 2312 mau/phut
119812/1340000 | van 444 | khai 25% trung 51% tan 25% | 2343 mau/phut
120312/1340000 | van 449 | khai 25% trung 51% tan 25% | 2367 mau/phut
120812/1340000 | van 456 | khai 25% trung 51% tan 25% | 1894 mau/phut
121312/1340000 | van 462 | khai 25% trung 51% tan 25% | 1919 mau/phut
121812/1340000 | van 469 | khai 25% trung 51% tan 25% | 1944 mau/phut
122312/1340000 | van 477 | khai 25% trung 51% tan 25% | 1965 mau/phut
122812/1340000 | van 484 | khai 25% trung 51% tan 25% | 1902 mau/phut
123312/1340000 | van 491 | khai 25% trung 51% tan 25% | 1926 mau/phut
123812/1340000 | van 497 | khai 25% trung 51% tan 25% | 1945 mau/phut
124312/1340000 | van 503 | khai 25% trung 51% tan 25% | 1967 mau/phut
124812/1340000 | van 510 | khai 25% trung 51% tan 25% | 1989 mau/phut
125312/1340000 | van 517 | khai 25% trung 51% tan 25% | 2011 mau/phut
125812/1340000 | van 526 | khai 25% trung 51% tan 25% | 2015 mau/phut
126312/1340000 | van 533 | khai 25% trung 51% tan 25% | 2037 mau/phut
126812/1340000 | van 540 | khai 25% trung 51% tan 25% | 2060 mau/phut
127312/1340000 | van 546 | khai 25% trung 51% tan 25% | 2082 mau/phut
127812/1340000 | van 553 | khai 25% trung 51% tan 25% | 2104 mau/phut
128312/1340000 | van 559 | khai 25% trung 51% tan 25% | 2126 mau/phut
128812/1340000 | van 567 | khai 25% trung 51% tan 24% | 2148 mau/phut
129312/1340000 | van 573 | khai 25% trung 51% tan 25% | 2170 mau/phut
129812/1340000 | van 579 | khai 25% trung 51% tan 25% | 2191 mau/phut
