377152 the co goc | da co 86000 mau trong data/data_pikafish_s16.jsonl | phan bo hien tai {'khai_cuoc': 20905, 'trung_cuoc': 44217, 'tan_cuoc': 20878}
86500/1340000 | van 10 | khai 24% trung 51% tan 24% | 8806 mau/phut
87000/1340000 | van 18 | khai 24% trung 51% tan 24% | 10721 mau/phut
87500/1340000 | van 23 | khai 24% trung 51% tan 24% | 11713 mau/phut
88000/1340000 | van 29 | khai 24% trung 51% tan 24% | 12603 mau/phut
88500/1340000 | van 37 | khai 24% trung 52% tan 24% | 12745 mau/phut
89000/1340000 | van 44 | khai 24% trung 52% tan 24% | 13354 mau/phut
89500/1340000 | van 50 | khai 24% trung 52% tan 24% | 13437 mau/phut
90000/1340000 | van 57 | khai 24% trung 52% tan 24% | 13637 mau/phut
90500/1340000 | van 64 | khai 24% trung 52% tan 24% | 13925 mau/phut
91000/1340000 | van 71 | khai 24% trung 52% tan 24% | 13607 mau/phut
91500/1340000 | van 78 | khai 24% trung 52% tan 24% | 13685 mau/phut
92000/1340000 | van 86 | khai 24% trung 52% tan 24% | 13752 mau/phut
92500/1340000 | van 93 | khai 24% trung 52% tan 24% | 13783 mau/phut
93000/1340000 | van 100 | khai 24% trung 52% tan 24% | 13920 mau/phut
93500/1340000 | van 106 | khai 24% trung 52% tan 24% | 13941 mau/phut
94000/1340000 | van 112 | khai 24% trung 52% tan 24% | 13943 mau/phut
94500/1340000 | van 118 | khai 24% trung 52% tan 24% | 13732 mau/phut
95000/1340000 | van 125 | khai 24% trung 51% tan 24% | 13747 mau/phut
95500/1340000 | van 132 | khai 24% trung 51% tan 24% | 13708 mau/phut
96000/1340000 | van 137 | khai 24% trung 51% tan 24% | 13632 mau/phut
96500/1340000 | van 143 | khai 24% trung 52% tan 24% | 13656 mau/phut
97000/1340000 | van 150 | khai 24% trung 52% tan 24% | 13671 mau/phut
97500/1340000 | van 158 | khai 24% trung 52% tan 24% | 13685 mau/phut
98000/1340000 | van 166 | khai 24% trung 52% tan 24% | 13623 mau/phut
98500/1340000 | van 173 | khai 24% trung 52% tan 24% | 13577 mau/phut
99000/1340000 | van 178 | khai 24% trung 52% tan 24% | 13296 mau/phut
99500/1340000 | van 184 | khai 24% trung 52% tan 24% | 13106 mau/phut
100000/1340000 | van 190 | khai 24% trung 52% tan 24% | 12639 mau/phut
100500/1340000 | van 198 | khai 24% trung 52% tan 24% | 12674 mau/phut
101000/1340000 | van 205 | khai 24% trung 52% tan 24% | 12738 mau/phut
101500/1340000 | van 213 | khai 24% trung 52% tan 24% | 12659 mau/phut
102000/1340000 | van 219 | khai 24% trung 52% tan 24% | 12622 mau/phut
102500/1340000 | van 228 | khai 24% trung 52% tan 24% | 12610 mau/phut
103000/1340000 | van 234 | khai 24% trung 52% tan 24% | 12597 mau/phut
103500/1340000 | van 241 | khai 24% trung 52% tan 24% | 12509 mau/phut
104000/1340000 | van 248 | khai 24% trung 52% tan 24% | 12417 mau/phut
104500/1340000 | van 255 | khai 24% trung 52% tan 24% | 12320 mau/phut
105000/1340000 | van 263 | khai 24% trung 52% tan 24% | 12198 mau/phut
105500/1340000 | van 270 | khai 24% trung 52% tan 24% | 11935 mau/phut
106000/1340000 | van 275 | khai 24% trung 52% tan 24% | 10726 mau/phut
106500/1340000 | van 284 | khai 24% trung 52% tan 24% | 8157 mau/phut
107000/1340000 | van 291 | khai 24% trung 52% tan 24% | 7140 mau/phut
107500/1340000 | van 299 | khai 24% trung 52% tan 24% | 7026 mau/phut
108000/1340000 | van 306 | khai 24% trung 52% tan 24% | 6979 mau/phut
108500/1340000 | van 312 | khai 24% trung 52% tan 24% | 6941 mau/phut
109000/1340000 | van 320 | khai 24% trung 52% tan 24% | 6931 mau/phut
109500/1340000 | van 327 | khai 24% trung 52% tan 24% | 6933 mau/phut
110000/1340000 | van 334 | khai 24% trung 52% tan 24% | 6961 mau/phut
110500/1340000 | van 342 | khai 24% trung 52% tan 24% | 6992 mau/phut
111000/1340000 | van 349 | khai 24% trung 51% tan 24% | 6994 mau/phut
111500/1340000 | van 356 | khai 24% trung 52% tan 24% | 7011 mau/phut
112000/1340000 | van 362 | khai 24% trung 52% tan 24% | 7000 mau/phut
112500/1340000 | van 368 | khai 24% trung 52% tan 24% | 6906 mau/phut
