Co 5297 the co khai cuoc lam diem xuat phat
Da co san 784 the co trong data_w6.jsonl
800/6216000 | khai 5, trung 6, tan 5 | nhan: chessdb 0, engine 16 | 709 mau/phut
825/6216000 | khai 13, trung 16, tan 12 | nhan: chessdb 0, engine 41 | 518 mau/phut
850/6216000 | khai 20, trung 26, tan 20 | nhan: chessdb 0, engine 66 | 552 mau/phut
875/6216000 | khai 28, trung 36, tan 27 | nhan: chessdb 0, engine 91 | 584 mau/phut
900/6216000 | khai 35, trung 46, tan 35 | nhan: chessdb 0, engine 116 | 612 mau/phut
925/6216000 | khai 43, trung 56, tan 42 | nhan: chessdb 0, engine 141 | 621 mau/phut
950/6216000 | khai 50, trung 66, tan 50 | nhan: chessdb 0, engine 166 | 626 mau/phut
975/6216000 | khai 58, trung 76, tan 57 | nhan: chessdb 0, engine 191 | 638 mau/phut
1000/6216000 | khai 65, trung 86, tan 65 | nhan: chessdb 0, engine 216 | 637 mau/phut
1025/6216000 | khai 73, trung 96, tan 72 | nhan: chessdb 0, engine 241 | 640 mau/phut
1050/6216000 | khai 80, trung 106, tan 80 | nhan: chessdb 0, engine 266 | 646 mau/phut
1075/6216000 | khai 88, trung 116, tan 87 | nhan: chessdb 0, engine 291 | 657 mau/phut
1100/6216000 | khai 95, trung 126, tan 95 | nhan: chessdb 0, engine 316 | 664 mau/phut
1125/6216000 | khai 103, trung 136, tan 102 | nhan: chessdb 0, engine 341 | 663 mau/phut
1150/6216000 | khai 110, trung 146, tan 110 | nhan: chessdb 0, engine 366 | 664 mau/phut
1175/6216000 | khai 118, trung 156, tan 117 | nhan: chessdb 0, engine 391 | 661 mau/phut
1200/6216000 | khai 125, trung 166, tan 125 | nhan: chessdb 0, engine 416 | 667 mau/phut
1225/6216000 | khai 133, trung 176, tan 132 | nhan: chessdb 0, engine 441 | 669 mau/phut
1250/6216000 | khai 140, trung 186, tan 140 | nhan: chessdb 0, engine 466 | 668 mau/phut
1275/6216000 | khai 148, trung 196, tan 147 | nhan: chessdb 0, engine 491 | 666 mau/phut
1300/6216000 | khai 155, trung 206, tan 155 | nhan: chessdb 0, engine 516 | 664 mau/phut
1325/6216000 | khai 163, trung 216, tan 162 | nhan: chessdb 0, engine 541 | 662 mau/phut
1350/6216000 | khai 170, trung 226, tan 170 | nhan: chessdb 0, engine 566 | 663 mau/phut
1375/6216000 | khai 178, trung 236, tan 177 | nhan: chessdb 0, engine 591 | 658 mau/phut
1400/6216000 | khai 185, trung 246, tan 185 | nhan: chessdb 0, engine 616 | 655 mau/phut
1425/6216000 | khai 193, trung 256, tan 192 | nhan: chessdb 0, engine 641 | 654 mau/phut
1450/6216000 | khai 200, trung 266, tan 200 | nhan: chessdb 0, engine 666 | 657 mau/phut
1475/6216000 | khai 208, trung 276, tan 207 | nhan: chessdb 0, engine 691 | 656 mau/phut
1500/6216000 | khai 215, trung 286, tan 215 | nhan: chessdb 0, engine 716 | 657 mau/phut
1525/6216000 | khai 223, trung 296, tan 222 | nhan: chessdb 0, engine 741 | 657 mau/phut
1550/6216000 | khai 230, trung 306, tan 230 | nhan: chessdb 0, engine 766 | 657 mau/phut
1575/6216000 | khai 238, trung 316, tan 237 | nhan: chessdb 0, engine 791 | 658 mau/phut
1600/6216000 | khai 245, trung 326, tan 245 | nhan: chessdb 0, engine 816 | 657 mau/phut
1625/6216000 | khai 253, trung 336, tan 252 | nhan: chessdb 0, engine 841 | 653 mau/phut
1650/6216000 | khai 260, trung 346, tan 260 | nhan: chessdb 0, engine 866 | 656 mau/phut
1675/6216000 | khai 268, trung 356, tan 267 | nhan: chessdb 0, engine 891 | 658 mau/phut
1700/6216000 | khai 275, trung 366, tan 275 | nhan: chessdb 0, engine 916 | 660 mau/phut
1725/6216000 | khai 283, trung 376, tan 282 | nhan: chessdb 0, engine 941 | 658 mau/phut
1750/6216000 | khai 290, trung 386, tan 290 | nhan: chessdb 0, engine 966 | 657 mau/phut
1775/6216000 | khai 298, trung 396, tan 297 | nhan: chessdb 0, engine 991 | 657 mau/phut
1800/6216000 | khai 305, trung 406, tan 305 | nhan: chessdb 0, engine 1016 | 656 mau/phut
1825/6216000 | khai 313, trung 416, tan 312 | nhan: chessdb 0, engine 1041 | 657 mau/phut
1850/6216000 | khai 320, trung 426, tan 320 | nhan: chessdb 0, engine 1066 | 659 mau/phut
1875/6216000 | khai 328, trung 436, tan 327 | nhan: chessdb 0, engine 1091 | 661 mau/phut
1900/6216000 | khai 335, trung 446, tan 335 | nhan: chessdb 0, engine 1116 | 663 mau/phut
1925/6216000 | khai 343, trung 456, tan 342 | nhan: chessdb 0, engine 1141 | 661 mau/phut
1950/6216000 | khai 350, trung 466, tan 350 | nhan: chessdb 0, engine 1166 | 664 mau/phut
1975/6216000 | khai 358, trung 476, tan 357 | nhan: chessdb 0, engine 1191 | 663 mau/phut
2000/6216000 | khai 365, trung 486, tan 365 | nhan: chessdb 0, engine 1216 | 664 mau/phut
2025/6216000 | khai 373, trung 496, tan 372 | nhan: chessdb 0, engine 1241 | 664 mau/phut
2050/6216000 | khai 380, trung 506, tan 380 | nhan: chessdb 0, engine 1266 | 664 mau/phut
2075/6216000 | khai 388, trung 516, tan 387 | nhan: chessdb 0, engine 1291 | 663 mau/phut
2100/6216000 | khai 395, trung 526, tan 395 | nhan: chessdb 0, engine 1316 | 663 mau/phut
2125/6216000 | khai 403, trung 536, tan 402 | nhan: chessdb 0, engine 1341 | 659 mau/phut
2150/6216000 | khai 410, trung 546, tan 410 | nhan: chessdb 0, engine 1366 | 658 mau/phut
2175/6216000 | khai 418, trung 556, tan 417 | nhan: chessdb 0, engine 1391 | 658 mau/phut
2200/6216000 | khai 425, trung 566, tan 425 | nhan: chessdb 0, engine 1416 | 659 mau/phut
2225/6216000 | khai 433, trung 576, tan 432 | nhan: chessdb 0, engine 1441 | 652 mau/phut
2250/6216000 | khai 440, trung 586, tan 440 | nhan: chessdb 0, engine 1466 | 652 mau/phut
2275/6216000 | khai 448, trung 596, tan 447 | nhan: chessdb 0, engine 1491 | 652 mau/phut
2300/6216000 | khai 455, trung 606, tan 455 | nhan: chessdb 0, engine 1516 | 653 mau/phut
2325/6216000 | khai 463, trung 616, tan 462 | nhan: chessdb 0, engine 1541 | 652 mau/phut
2350/6216000 | khai 470, trung 626, tan 470 | nhan: chessdb 0, engine 1566 | 653 mau/phut
