Co 5297 the co khai cuoc lam diem xuat phat
Da co san 769 the co trong data_w3.jsonl
2325/6216000 | khai 467, trung 622, tan 467 | nhan: chessdb 0, engine 1556 | 658 mau/phut
2350/6216000 | khai 475, trung 632, tan 474 | nhan: chessdb 0, engine 1581 | 657 mau/phut
2375/6216000 | khai 482, trung 642, tan 482 | nhan: chessdb 0, engine 1606 | 659 mau/phut
2400/6216000 | khai 490, trung 652, tan 489 | nhan: chessdb 0, engine 1631 | 658 mau/phut
2425/6216000 | khai 497, trung 662, tan 497 | nhan: chessdb 0, engine 1656 | 657 mau/phut
2450/6216000 | khai 505, trung 672, tan 504 | nhan: chessdb 0, engine 1681 | 655 mau/phut
2475/6216000 | khai 512, trung 682, tan 512 | nhan: chessdb 0, engine 1706 | 656 mau/phut
2500/6216000 | khai 520, trung 692, tan 519 | nhan: chessdb 0, engine 1731 | 657 mau/phut
2525/6216000 | khai 527, trung 702, tan 527 | nhan: chessdb 0, engine 1756 | 657 mau/phut
2550/6216000 | khai 535, trung 712, tan 534 | nhan: chessdb 0, engine 1781 | 656 mau/phut
2575/6216000 | khai 542, trung 722, tan 542 | nhan: chessdb 0, engine 1806 | 657 mau/phut
2600/6216000 | khai 550, trung 732, tan 549 | nhan: chessdb 0, engine 1831 | 656 mau/phut
2625/6216000 | khai 557, trung 742, tan 557 | nhan: chessdb 0, engine 1856 | 655 mau/phut
2650/6216000 | khai 565, trung 752, tan 564 | nhan: chessdb 0, engine 1881 | 655 mau/phut
2675/6216000 | khai 572, trung 762, tan 572 | nhan: chessdb 0, engine 1906 | 656 mau/phut
2700/6216000 | khai 580, trung 772, tan 579 | nhan: chessdb 0, engine 1931 | 655 mau/phut
2725/6216000 | khai 587, trung 782, tan 587 | nhan: chessdb 0, engine 1956 | 655 mau/phut
2750/6216000 | khai 595, trung 792, tan 594 | nhan: chessdb 0, engine 1981 | 654 mau/phut
2775/6216000 | khai 602, trung 802, tan 602 | nhan: chessdb 0, engine 2006 | 653 mau/phut
2800/6216000 | khai 610, trung 812, tan 609 | nhan: chessdb 0, engine 2031 | 653 mau/phut
2825/6216000 | khai 617, trung 822, tan 617 | nhan: chessdb 0, engine 2056 | 652 mau/phut
2850/6216000 | khai 625, trung 832, tan 624 | nhan: chessdb 0, engine 2081 | 652 mau/phut
2875/6216000 | khai 632, trung 842, tan 632 | nhan: chessdb 0, engine 2106 | 652 mau/phut
2900/6216000 | khai 640, trung 852, tan 639 | nhan: chessdb 0, engine 2131 | 652 mau/phut
2925/6216000 | khai 647, trung 862, tan 647 | nhan: chessdb 0, engine 2156 | 653 mau/phut
2950/6216000 | khai 655, trung 872, tan 654 | nhan: chessdb 0, engine 2181 | 654 mau/phut
2975/6216000 | khai 662, trung 882, tan 662 | nhan: chessdb 0, engine 2206 | 654 mau/phut
3000/6216000 | khai 670, trung 892, tan 669 | nhan: chessdb 0, engine 2231 | 654 mau/phut
3025/6216000 | khai 677, trung 902, tan 677 | nhan: chessdb 0, engine 2256 | 652 mau/phut
3050/6216000 | khai 685, trung 912, tan 684 | nhan: chessdb 0, engine 2281 | 652 mau/phut
3075/6216000 | khai 692, trung 922, tan 692 | nhan: chessdb 0, engine 2306 | 651 mau/phut
3100/6216000 | khai 700, trung 932, tan 699 | nhan: chessdb 0, engine 2331 | 651 mau/phut
3125/6216000 | khai 707, trung 942, tan 707 | nhan: chessdb 0, engine 2356 | 651 mau/phut
3150/6216000 | khai 715, trung 952, tan 714 | nhan: chessdb 0, engine 2381 | 650 mau/phut
3175/6216000 | khai 722, trung 962, tan 722 | nhan: chessdb 0, engine 2406 | 649 mau/phut
3200/6216000 | khai 730, trung 972, tan 729 | nhan: chessdb 0, engine 2431 | 649 mau/phut
3225/6216000 | khai 737, trung 982, tan 737 | nhan: chessdb 0, engine 2456 | 650 mau/phut
3250/6216000 | khai 745, trung 992, tan 744 | nhan: chessdb 0, engine 2481 | 650 mau/phut
