Co 5297 the co khai cuoc lam diem xuat phat
Da co san 780 the co trong data_w2.jsonl
800/6216000 | khai 6, trung 8, tan 6 | nhan: chessdb 0, engine 20 | 687 mau/phut
825/6216000 | khai 14, trung 18, tan 13 | nhan: chessdb 0, engine 45 | 526 mau/phut
850/6216000 | khai 21, trung 28, tan 21 | nhan: chessdb 0, engine 70 | 526 mau/phut
875/6216000 | khai 29, trung 38, tan 28 | nhan: chessdb 0, engine 95 | 559 mau/phut
900/6216000 | khai 36, trung 48, tan 36 | nhan: chessdb 0, engine 120 | 567 mau/phut
925/6216000 | khai 44, trung 58, tan 43 | nhan: chessdb 0, engine 145 | 587 mau/phut
950/6216000 | khai 51, trung 68, tan 51 | nhan: chessdb 0, engine 170 | 605 mau/phut
975/6216000 | khai 59, trung 78, tan 58 | nhan: chessdb 0, engine 195 | 612 mau/phut
1000/6216000 | khai 66, trung 88, tan 66 | nhan: chessdb 0, engine 220 | 625 mau/phut
1025/6216000 | khai 74, trung 98, tan 73 | nhan: chessdb 0, engine 245 | 631 mau/phut
1050/6216000 | khai 81, trung 108, tan 81 | nhan: chessdb 0, engine 270 | 637 mau/phut
1075/6216000 | khai 89, trung 118, tan 88 | nhan: chessdb 0, engine 295 | 645 mau/phut
1100/6216000 | khai 96, trung 128, tan 96 | nhan: chessdb 0, engine 320 | 648 mau/phut
1125/6216000 | khai 104, trung 138, tan 103 | nhan: chessdb 0, engine 345 | 646 mau/phut
1150/6216000 | khai 111, trung 148, tan 111 | nhan: chessdb 0, engine 370 | 651 mau/phut
1175/6216000 | khai 119, trung 158, tan 118 | nhan: chessdb 0, engine 395 | 652 mau/phut
1200/6216000 | khai 126, trung 168, tan 126 | nhan: chessdb 0, engine 420 | 652 mau/phut
1225/6216000 | khai 134, trung 178, tan 133 | nhan: chessdb 0, engine 445 | 656 mau/phut
1250/6216000 | khai 141, trung 188, tan 141 | nhan: chessdb 0, engine 470 | 656 mau/phut
1275/6216000 | khai 149, trung 198, tan 148 | nhan: chessdb 0, engine 495 | 650 mau/phut
1300/6216000 | khai 156, trung 208, tan 156 | nhan: chessdb 0, engine 520 | 653 mau/phut
1325/6216000 | khai 164, trung 218, tan 163 | nhan: chessdb 0, engine 545 | 656 mau/phut
1350/6216000 | khai 171, trung 228, tan 171 | nhan: chessdb 0, engine 570 | 661 mau/phut
1375/6216000 | khai 179, trung 238, tan 178 | nhan: chessdb 0, engine 595 | 663 mau/phut
1400/6216000 | khai 186, trung 248, tan 186 | nhan: chessdb 0, engine 620 | 659 mau/phut
1425/6216000 | khai 194, trung 258, tan 193 | nhan: chessdb 0, engine 645 | 660 mau/phut
1450/6216000 | khai 201, trung 268, tan 201 | nhan: chessdb 0, engine 670 | 665 mau/phut
1475/6216000 | khai 209, trung 278, tan 208 | nhan: chessdb 0, engine 695 | 666 mau/phut
1500/6216000 | khai 216, trung 288, tan 216 | nhan: chessdb 0, engine 720 | 664 mau/phut
1525/6216000 | khai 224, trung 298, tan 223 | nhan: chessdb 0, engine 745 | 667 mau/phut
1550/6216000 | khai 231, trung 308, tan 231 | nhan: chessdb 0, engine 770 | 670 mau/phut
1575/6216000 | khai 239, trung 318, tan 238 | nhan: chessdb 0, engine 795 | 670 mau/phut
1600/6216000 | khai 246, trung 328, tan 246 | nhan: chessdb 0, engine 820 | 671 mau/phut
1625/6216000 | khai 254, trung 338, tan 253 | nhan: chessdb 0, engine 845 | 670 mau/phut
1650/6216000 | khai 261, trung 348, tan 261 | nhan: chessdb 0, engine 870 | 669 mau/phut
