Co 5297 the co khai cuoc lam diem xuat phat
Da co san 810 the co trong data_w4.jsonl
825/6216000 | khai 5, trung 6, tan 4 | nhan: chessdb 0, engine 15 | 591 mau/phut
850/6216000 | khai 12, trung 16, tan 12 | nhan: chessdb 0, engine 40 | 514 mau/phut
875/6216000 | khai 20, trung 26, tan 19 | nhan: chessdb 0, engine 65 | 567 mau/phut
900/6216000 | khai 27, trung 36, tan 27 | nhan: chessdb 0, engine 90 | 608 mau/phut
925/6216000 | khai 35, trung 46, tan 34 | nhan: chessdb 0, engine 115 | 642 mau/phut
950/6216000 | khai 42, trung 56, tan 42 | nhan: chessdb 0, engine 140 | 642 mau/phut
975/6216000 | khai 50, trung 66, tan 49 | nhan: chessdb 0, engine 165 | 634 mau/phut
1000/6216000 | khai 57, trung 76, tan 57 | nhan: chessdb 0, engine 190 | 634 mau/phut
1025/6216000 | khai 65, trung 86, tan 64 | nhan: chessdb 0, engine 215 | 637 mau/phut
1050/6216000 | khai 72, trung 96, tan 72 | nhan: chessdb 0, engine 240 | 647 mau/phut
1075/6216000 | khai 80, trung 106, tan 79 | nhan: chessdb 0, engine 265 | 648 mau/phut
1100/6216000 | khai 87, trung 116, tan 87 | nhan: chessdb 0, engine 290 | 647 mau/phut
1125/6216000 | khai 95, trung 126, tan 94 | nhan: chessdb 0, engine 315 | 653 mau/phut
1150/6216000 | khai 102, trung 136, tan 102 | nhan: chessdb 0, engine 340 | 650 mau/phut
1175/6216000 | khai 110, trung 146, tan 109 | nhan: chessdb 0, engine 365 | 653 mau/phut
1200/6216000 | khai 117, trung 156, tan 117 | nhan: chessdb 0, engine 390 | 656 mau/phut
1225/6216000 | khai 125, trung 166, tan 124 | nhan: chessdb 0, engine 415 | 658 mau/phut
1250/6216000 | khai 132, trung 176, tan 132 | nhan: chessdb 0, engine 440 | 661 mau/phut
1275/6216000 | khai 140, trung 186, tan 139 | nhan: chessdb 0, engine 465 | 656 mau/phut
1300/6216000 | khai 147, trung 196, tan 147 | nhan: chessdb 0, engine 490 | 655 mau/phut
1325/6216000 | khai 155, trung 206, tan 154 | nhan: chessdb 0, engine 515 | 661 mau/phut
1350/6216000 | khai 162, trung 216, tan 162 | nhan: chessdb 0, engine 540 | 665 mau/phut
1375/6216000 | khai 170, trung 226, tan 169 | nhan: chessdb 0, engine 565 | 666 mau/phut
1400/6216000 | khai 177, trung 236, tan 177 | nhan: chessdb 0, engine 590 | 668 mau/phut
1425/6216000 | khai 185, trung 246, tan 184 | nhan: chessdb 0, engine 615 | 669 mau/phut
1450/6216000 | khai 192, trung 256, tan 192 | nhan: chessdb 0, engine 640 | 668 mau/phut
1475/6216000 | khai 200, trung 266, tan 199 | nhan: chessdb 0, engine 665 | 670 mau/phut
1500/6216000 | khai 207, trung 276, tan 207 | nhan: chessdb 0, engine 690 | 667 mau/phut
1525/6216000 | khai 215, trung 286, tan 214 | nhan: chessdb 0, engine 715 | 665 mau/phut
1550/6216000 | khai 222, trung 296, tan 222 | nhan: chessdb 0, engine 740 | 663 mau/phut
1575/6216000 | khai 230, trung 306, tan 229 | nhan: chessdb 0, engine 765 | 665 mau/phut
1600/6216000 | khai 237, trung 316, tan 237 | nhan: chessdb 0, engine 790 | 664 mau/phut
1625/6216000 | khai 245, trung 326, tan 244 | nhan: chessdb 0, engine 815 | 662 mau/phut
1650/6216000 | khai 252, trung 336, tan 252 | nhan: chessdb 0, engine 840 | 665 mau/phut
1675/6216000 | khai 260, trung 346, tan 259 | nhan: chessdb 0, engine 865 | 663 mau/phut
1700/6216000 | khai 267, trung 356, tan 267 | nhan: chessdb 0, engine 890 | 665 mau/phut
1725/6216000 | khai 275, trung 366, tan 274 | nhan: chessdb 0, engine 915 | 666 mau/phut
1750/6216000 | khai 282, trung 376, tan 282 | nhan: chessdb 0, engine 940 | 666 mau/phut
1775/6216000 | khai 290, trung 386, tan 289 | nhan: chessdb 0, engine 965 | 665 mau/phut
1800/6216000 | khai 297, trung 396, tan 297 | nhan: chessdb 0, engine 990 | 667 mau/phut
1825/6216000 | khai 305, trung 406, tan 304 | nhan: chessdb 0, engine 1015 | 667 mau/phut
1850/6216000 | khai 312, trung 416, tan 312 | nhan: chessdb 0, engine 1040 | 666 mau/phut
1875/6216000 | khai 320, trung 426, tan 319 | nhan: chessdb 0, engine 1065 | 667 mau/phut
1900/6216000 | khai 327, trung 436, tan 327 | nhan: chessdb 0, engine 1090 | 666 mau/phut
1925/6216000 | khai 335, trung 446, tan 334 | nhan: chessdb 0, engine 1115 | 667 mau/phut
1950/6216000 | khai 342, trung 456, tan 342 | nhan: chessdb 0, engine 1140 | 665 mau/phut
1975/6216000 | khai 350, trung 466, tan 349 | nhan: chessdb 0, engine 1165 | 664 mau/phut
2000/6216000 | khai 357, trung 476, tan 357 | nhan: chessdb 0, engine 1190 | 664 mau/phut
2025/6216000 | khai 365, trung 486, tan 364 | nhan: chessdb 0, engine 1215 | 664 mau/phut
2050/6216000 | khai 372, trung 496, tan 372 | nhan: chessdb 0, engine 1240 | 664 mau/phut
2075/6216000 | khai 380, trung 506, tan 379 | nhan: chessdb 0, engine 1265 | 664 mau/phut
2100/6216000 | khai 387, trung 516, tan 387 | nhan: chessdb 0, engine 1290 | 663 mau/phut
2125/6216000 | khai 395, trung 526, tan 394 | nhan: chessdb 0, engine 1315 | 662 mau/phut
2150/6216000 | khai 402, trung 536, tan 402 | nhan: chessdb 0, engine 1340 | 658 mau/phut
2175/6216000 | khai 410, trung 546, tan 409 | nhan: chessdb 0, engine 1365 | 660 mau/phut
2200/6216000 | khai 417, trung 556, tan 417 | nhan: chessdb 0, engine 1390 | 661 mau/phut
2225/6216000 | khai 425, trung 566, tan 424 | nhan: chessdb 0, engine 1415 | 660 mau/phut
2250/6216000 | khai 432, trung 576, tan 432 | nhan: chessdb 0, engine 1440 | 652 mau/phut
2275/6216000 | khai 440, trung 586, tan 439 | nhan: chessdb 0, engine 1465 | 652 mau/phut
2300/6216000 | khai 447, trung 596, tan 447 | nhan: chessdb 0, engine 1490 | 652 mau/phut
2325/6216000 | khai 455, trung 606, tan 454 | nhan: chessdb 0, engine 1515 | 652 mau/phut
2350/6216000 | khai 462, trung 616, tan 462 | nhan: chessdb 0, engine 1540 | 652 mau/phut
2375/6216000 | khai 470, trung 626, tan 469 | nhan: chessdb 0, engine 1565 | 652 mau/phut
2400/6216000 | khai 477, trung 636, tan 477 | nhan: chessdb 0, engine 1590 | 653 mau/phut
2425/6216000 | khai 485, trung 646, tan 484 | nhan: chessdb 0, engine 1615 | 651 mau/phut
2450/6216000 | khai 492, trung 656, tan 492 | nhan: chessdb 0, engine 1640 | 648 mau/phut
2475/6216000 | khai 500, trung 666, tan 499 | nhan: chessdb 0, engine 1665 | 647 mau/phut
2500/6216000 | khai 507, trung 676, tan 507 | nhan: chessdb 0, engine 1690 | 647 mau/phut
2525/6216000 | khai 515, trung 686, tan 514 | nhan: chessdb 0, engine 1715 | 647 mau/phut
2550/6216000 | khai 522, trung 696, tan 522 | nhan: chessdb 0, engine 1740 | 648 mau/phut
2575/6216000 | khai 530, trung 706, tan 529 | nhan: chessdb 0, engine 1765 | 649 mau/phut
2600/6216000 | khai 537, trung 716, tan 537 | nhan: chessdb 0, engine 1790 | 647 mau/phut
2625/6216000 | khai 545, trung 726, tan 544 | nhan: chessdb 0, engine 1815 | 647 mau/phut
2650/6216000 | khai 552, trung 736, tan 552 | nhan: chessdb 0, engine 1840 | 646 mau/phut
2675/6216000 | khai 560, trung 746, tan 559 | nhan: chessdb 0, engine 1865 | 646 mau/phut
2700/6216000 | khai 567, trung 756, tan 567 | nhan: chessdb 0, engine 1890 | 646 mau/phut
2725/6216000 | khai 575, trung 766, tan 574 | nhan: chessdb 0, engine 1915 | 646 mau/phut
2750/6216000 | khai 582, trung 776, tan 582 | nhan: chessdb 0, engine 1940 | 647 mau/phut
2775/6216000 | khai 590, trung 786, tan 589 | nhan: chessdb 0, engine 1965 | 646 mau/phut
2800/6216000 | khai 597, trung 796, tan 597 | nhan: chessdb 0, engine 1990 | 645 mau/phut
2825/6216000 | khai 605, trung 806, tan 604 | nhan: chessdb 0, engine 2015 | 645 mau/phut
2850/6216000 | khai 612, trung 816, tan 612 | nhan: chessdb 0, engine 2040 | 645 mau/phut
2875/6216000 | khai 620, trung 826, tan 619 | nhan: chessdb 0, engine 2065 | 645 mau/phut
2900/6216000 | khai 627, trung 836, tan 627 | nhan: chessdb 0, engine 2090 | 644 mau/phut
2925/6216000 | khai 635, trung 846, tan 634 | nhan: chessdb 0, engine 2115 | 644 mau/phut
2950/6216000 | khai 642, trung 856, tan 642 | nhan: chessdb 0, engine 2140 | 644 mau/phut
2975/6216000 | khai 650, trung 866, tan 649 | nhan: chessdb 0, engine 2165 | 643 mau/phut
3000/6216000 | khai 657, trung 876, tan 657 | nhan: chessdb 0, engine 2190 | 643 mau/phut
3025/6216000 | khai 665, trung 886, tan 664 | nhan: chessdb 0, engine 2215 | 644 mau/phut
3050/6216000 | khai 672, trung 896, tan 672 | nhan: chessdb 0, engine 2240 | 643 mau/phut
3075/6216000 | khai 680, trung 906, tan 679 | nhan: chessdb 0, engine 2265 | 642 mau/phut
3100/6216000 | khai 687, trung 916, tan 687 | nhan: chessdb 0, engine 2290 | 642 mau/phut
3125/6216000 | khai 695, trung 926, tan 694 | nhan: chessdb 0, engine 2315 | 642 mau/phut
3150/6216000 | khai 702, trung 936, tan 702 | nhan: chessdb 0, engine 2340 | 642 mau/phut
