Co 5297 the co khai cuoc lam diem xuat phat
Da co san 815 the co trong data_w1.jsonl
825/6216000 | khai 3, trung 4, tan 3 | nhan: chessdb 0, engine 10 | 667 mau/phut
850/6216000 | khai 11, trung 14, tan 10 | nhan: chessdb 0, engine 35 | 510 mau/phut
875/6216000 | khai 18, trung 24, tan 18 | nhan: chessdb 0, engine 60 | 561 mau/phut
900/6216000 | khai 26, trung 34, tan 25 | nhan: chessdb 0, engine 85 | 595 mau/phut
925/6216000 | khai 33, trung 44, tan 33 | nhan: chessdb 0, engine 110 | 632 mau/phut
950/6216000 | khai 41, trung 54, tan 40 | nhan: chessdb 0, engine 135 | 632 mau/phut
975/6216000 | khai 48, trung 64, tan 48 | nhan: chessdb 0, engine 160 | 634 mau/phut
1000/6216000 | khai 56, trung 74, tan 55 | nhan: chessdb 0, engine 185 | 648 mau/phut
1025/6216000 | khai 63, trung 84, tan 63 | nhan: chessdb 0, engine 210 | 655 mau/phut
1050/6216000 | khai 71, trung 94, tan 70 | nhan: chessdb 0, engine 235 | 672 mau/phut
1075/6216000 | khai 78, trung 104, tan 78 | nhan: chessdb 0, engine 260 | 681 mau/phut
1100/6216000 | khai 86, trung 114, tan 85 | nhan: chessdb 0, engine 285 | 687 mau/phut
1125/6216000 | khai 93, trung 124, tan 93 | nhan: chessdb 0, engine 310 | 689 mau/phut
1150/6216000 | khai 101, trung 134, tan 100 | nhan: chessdb 0, engine 335 | 691 mau/phut
1175/6216000 | khai 108, trung 144, tan 108 | nhan: chessdb 0, engine 360 | 688 mau/phut
1200/6216000 | khai 116, trung 154, tan 115 | nhan: chessdb 0, engine 385 | 685 mau/phut
1225/6216000 | khai 123, trung 164, tan 123 | nhan: chessdb 0, engine 410 | 689 mau/phut
1250/6216000 | khai 131, trung 174, tan 130 | nhan: chessdb 0, engine 435 | 691 mau/phut
1275/6216000 | khai 138, trung 184, tan 138 | nhan: chessdb 0, engine 460 | 688 mau/phut
1300/6216000 | khai 146, trung 194, tan 145 | nhan: chessdb 0, engine 485 | 684 mau/phut
1325/6216000 | khai 153, trung 204, tan 153 | nhan: chessdb 0, engine 510 | 682 mau/phut
1350/6216000 | khai 161, trung 214, tan 160 | nhan: chessdb 0, engine 535 | 680 mau/phut
1375/6216000 | khai 168, trung 224, tan 168 | nhan: chessdb 0, engine 560 | 682 mau/phut
1400/6216000 | khai 176, trung 234, tan 175 | nhan: chessdb 0, engine 585 | 686 mau/phut
1425/6216000 | khai 183, trung 244, tan 183 | nhan: chessdb 0, engine 610 | 688 mau/phut
1450/6216000 | khai 191, trung 254, tan 190 | nhan: chessdb 0, engine 635 | 688 mau/phut
1475/6216000 | khai 198, trung 264, tan 198 | nhan: chessdb 0, engine 660 | 684 mau/phut
1500/6216000 | khai 206, trung 274, tan 205 | nhan: chessdb 0, engine 685 | 687 mau/phut
1525/6216000 | khai 213, trung 284, tan 213 | nhan: chessdb 0, engine 710 | 687 mau/phut
1550/6216000 | khai 221, trung 294, tan 220 | nhan: chessdb 0, engine 735 | 687 mau/phut
1575/6216000 | khai 228, trung 304, tan 228 | nhan: chessdb 0, engine 760 | 687 mau/phut
1600/6216000 | khai 236, trung 314, tan 235 | nhan: chessdb 0, engine 785 | 686 mau/phut
1625/6216000 | khai 243, trung 324, tan 243 | nhan: chessdb 0, engine 810 | 684 mau/phut
1650/6216000 | khai 251, trung 334, tan 250 | nhan: chessdb 0, engine 835 | 678 mau/phut
1675/6216000 | khai 258, trung 344, tan 258 | nhan: chessdb 0, engine 860 | 677 mau/phut
1700/6216000 | khai 266, trung 354, tan 265 | nhan: chessdb 0, engine 885 | 678 mau/phut
1725/6216000 | khai 273, trung 364, tan 273 | nhan: chessdb 0, engine 910 | 678 mau/phut
1750/6216000 | khai 281, trung 374, tan 280 | nhan: chessdb 0, engine 935 | 677 mau/phut
