Co 5297 the co khai cuoc lam diem xuat phat
Da co san 791 the co trong data_w5.jsonl
800/6216000 | khai 3, trung 3, tan 3 | nhan: chessdb 0, engine 9 | 635 mau/phut
825/6216000 | khai 10, trung 14, tan 10 | nhan: chessdb 0, engine 34 | 532 mau/phut
850/6216000 | khai 18, trung 23, tan 18 | nhan: chessdb 0, engine 59 | 582 mau/phut
875/6216000 | khai 25, trung 34, tan 25 | nhan: chessdb 0, engine 84 | 637 mau/phut
900/6216000 | khai 33, trung 43, tan 33 | nhan: chessdb 0, engine 109 | 659 mau/phut
925/6216000 | khai 40, trung 54, tan 40 | nhan: chessdb 0, engine 134 | 659 mau/phut
950/6216000 | khai 48, trung 63, tan 48 | nhan: chessdb 0, engine 159 | 656 mau/phut
975/6216000 | khai 55, trung 74, tan 55 | nhan: chessdb 0, engine 184 | 664 mau/phut
1000/6216000 | khai 63, trung 83, tan 63 | nhan: chessdb 0, engine 209 | 660 mau/phut
1025/6216000 | khai 70, trung 94, tan 70 | nhan: chessdb 0, engine 234 | 668 mau/phut
1050/6216000 | khai 78, trung 103, tan 78 | nhan: chessdb 0, engine 259 | 676 mau/phut
1075/6216000 | khai 85, trung 114, tan 85 | nhan: chessdb 0, engine 284 | 678 mau/phut
1100/6216000 | khai 93, trung 123, tan 93 | nhan: chessdb 0, engine 309 | 671 mau/phut
1125/6216000 | khai 100, trung 134, tan 100 | nhan: chessdb 0, engine 334 | 676 mau/phut
1150/6216000 | khai 108, trung 143, tan 108 | nhan: chessdb 0, engine 359 | 660 mau/phut
1175/6216000 | khai 115, trung 154, tan 115 | nhan: chessdb 0, engine 384 | 662 mau/phut
1200/6216000 | khai 123, trung 163, tan 123 | nhan: chessdb 0, engine 409 | 663 mau/phut
1225/6216000 | khai 130, trung 174, tan 130 | nhan: chessdb 0, engine 434 | 664 mau/phut
1250/6216000 | khai 138, trung 183, tan 138 | nhan: chessdb 0, engine 459 | 656 mau/phut
1275/6216000 | khai 145, trung 194, tan 145 | nhan: chessdb 0, engine 484 | 650 mau/phut
1300/6216000 | khai 153, trung 203, tan 153 | nhan: chessdb 0, engine 509 | 653 mau/phut
1325/6216000 | khai 160, trung 214, tan 160 | nhan: chessdb 0, engine 534 | 662 mau/phut
1350/6216000 | khai 168, trung 223, tan 168 | nhan: chessdb 0, engine 559 | 663 mau/phut
1375/6216000 | khai 175, trung 234, tan 175 | nhan: chessdb 0, engine 584 | 667 mau/phut
1400/6216000 | khai 183, trung 243, tan 183 | nhan: chessdb 0, engine 609 | 663 mau/phut
1425/6216000 | khai 190, trung 254, tan 190 | nhan: chessdb 0, engine 634 | 664 mau/phut
1450/6216000 | khai 198, trung 263, tan 198 | nhan: chessdb 0, engine 659 | 661 mau/phut
1475/6216000 | khai 205, trung 274, tan 205 | nhan: chessdb 0, engine 684 | 660 mau/phut
1500/6216000 | khai 213, trung 283, tan 213 | nhan: chessdb 0, engine 709 | 661 mau/phut
1525/6216000 | khai 220, trung 294, tan 220 | nhan: chessdb 0, engine 734 | 661 mau/phut
1550/6216000 | khai 228, trung 303, tan 228 | nhan: chessdb 0, engine 759 | 660 mau/phut
1575/6216000 | khai 235, trung 314, tan 235 | nhan: chessdb 0, engine 784 | 661 mau/phut
1600/6216000 | khai 243, trung 323, tan 243 | nhan: chessdb 0, engine 809 | 658 mau/phut
1625/6216000 | khai 250, trung 334, tan 250 | nhan: chessdb 0, engine 834 | 657 mau/phut
1650/6216000 | khai 258, trung 343, tan 258 | nhan: chessdb 0, engine 859 | 658 mau/phut
1675/6216000 | khai 265, trung 354, tan 265 | nhan: chessdb 0, engine 884 | 658 mau/phut
1700/6216000 | khai 273, trung 363, tan 273 | nhan: chessdb 0, engine 909 | 661 mau/phut
1725/6216000 | khai 280, trung 374, tan 280 | nhan: chessdb 0, engine 934 | 663 mau/phut
1750/6216000 | khai 288, trung 383, tan 288 | nhan: chessdb 0, engine 959 | 662 mau/phut
1775/6216000 | khai 295, trung 394, tan 295 | nhan: chessdb 0, engine 984 | 662 mau/phut
1800/6216000 | khai 303, trung 403, tan 303 | nhan: chessdb 0, engine 1009 | 662 mau/phut
1825/6216000 | khai 310, trung 414, tan 310 | nhan: chessdb 0, engine 1034 | 661 mau/phut
1850/6216000 | khai 318, trung 423, tan 318 | nhan: chessdb 0, engine 1059 | 661 mau/phut
1875/6216000 | khai 325, trung 434, tan 325 | nhan: chessdb 0, engine 1084 | 661 mau/phut
1900/6216000 | khai 333, trung 443, tan 333 | nhan: chessdb 0, engine 1109 | 659 mau/phut
1925/6216000 | khai 340, trung 454, tan 340 | nhan: chessdb 0, engine 1134 | 661 mau/phut
1950/6216000 | khai 348, trung 463, tan 348 | nhan: chessdb 0, engine 1159 | 663 mau/phut
1975/6216000 | khai 355, trung 474, tan 355 | nhan: chessdb 0, engine 1184 | 662 mau/phut
2000/6216000 | khai 363, trung 483, tan 363 | nhan: chessdb 0, engine 1209 | 663 mau/phut
2025/6216000 | khai 370, trung 494, tan 370 | nhan: chessdb 0, engine 1234 | 664 mau/phut
2050/6216000 | khai 378, trung 503, tan 378 | nhan: chessdb 0, engine 1259 | 664 mau/phut
2075/6216000 | khai 385, trung 514, tan 385 | nhan: chessdb 0, engine 1284 | 664 mau/phut
2100/6216000 | khai 393, trung 523, tan 393 | nhan: chessdb 0, engine 1309 | 664 mau/phut
2125/6216000 | khai 400, trung 534, tan 400 | nhan: chessdb 0, engine 1334 | 661 mau/phut
2150/6216000 | khai 408, trung 543, tan 408 | nhan: chessdb 0, engine 1359 | 660 mau/phut
2175/6216000 | khai 415, trung 554, tan 415 | nhan: chessdb 0, engine 1384 | 660 mau/phut
2200/6216000 | khai 423, trung 563, tan 423 | nhan: chessdb 0, engine 1409 | 661 mau/phut
2225/6216000 | khai 430, trung 574, tan 430 | nhan: chessdb 0, engine 1434 | 654 mau/phut
2250/6216000 | khai 438, trung 583, tan 438 | nhan: chessdb 0, engine 1459 | 652 mau/phut
2275/6216000 | khai 445, trung 594, tan 445 | nhan: chessdb 0, engine 1484 | 651 mau/phut
2300/6216000 | khai 453, trung 603, tan 453 | nhan: chessdb 0, engine 1509 | 653 mau/phut
2325/6216000 | khai 460, trung 614, tan 460 | nhan: chessdb 0, engine 1534 | 654 mau/phut
2350/6216000 | khai 468, trung 623, tan 468 | nhan: chessdb 0, engine 1559 | 653 mau/phut
2375/6216000 | khai 475, trung 634, tan 475 | nhan: chessdb 0, engine 1584 | 653 mau/phut
2400/6216000 | khai 483, trung 643, tan 483 | nhan: chessdb 0, engine 1609 | 652 mau/phut
2425/6216000 | khai 490, trung 654, tan 490 | nhan: chessdb 0, engine 1634 | 650 mau/phut
2450/6216000 | khai 498, trung 663, tan 498 | nhan: chessdb 0, engine 1659 | 649 mau/phut
2475/6216000 | khai 505, trung 674, tan 505 | nhan: chessdb 0, engine 1684 | 650 mau/phut
2500/6216000 | khai 513, trung 683, tan 513 | nhan: chessdb 0, engine 1709 | 648 mau/phut
2525/6216000 | khai 520, trung 694, tan 520 | nhan: chessdb 0, engine 1734 | 646 mau/phut
2550/6216000 | khai 528, trung 703, tan 528 | nhan: chessdb 0, engine 1759 | 646 mau/phut
2575/6216000 | khai 535, trung 714, tan 535 | nhan: chessdb 0, engine 1784 | 645 mau/phut
2600/6216000 | khai 543, trung 723, tan 543 | nhan: chessdb 0, engine 1809 | 646 mau/phut
2625/6216000 | khai 550, trung 734, tan 550 | nhan: chessdb 0, engine 1834 | 646 mau/phut
2650/6216000 | khai 558, trung 743, tan 558 | nhan: chessdb 0, engine 1859 | 647 mau/phut
